Distribuição dos casos de dengue notificados e confirmados (autóctones e importados) segundo município de residência, por mês de início de sintomas, ESP, 2019.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Janeiro ;;;Fevereiro;;;março;;;Abril;;;Maio;;;junho;;;julho;;;Agosto;;;Setembro;;;Outubro;;;Novembro;;;Dezembro;;;Total;;;
;DRS;;GVE;;Região de Saúde;município;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;
;;;;;;;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Marília;XIX;MARÍLIA;35091;ADAMANTINA ;350010 Adamantina;4;0;0;34;22;1;126;68;0;459;337;0;1.006;829;1;654;520;4;243;185;0;105;71;0;47;19;0;43;14;0;16;6;0;20;8;0;2.757;2.079;6;
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35156;JOSÉ BONIFÁCIO;350020 Adolfo;56;46;0;32;19;0;20;16;0;20;9;0;16;9;0;25;10;0;6;6;0;0;0;0;0;0;0;3;1;0;2;0;0;1;1;0;181;117;0;
14;São João da Boa Vista;XXVI;SÃO JOÃO DA BOA VISTA;35142;MANTIQUEIRA;350030 Aguaí;9;1;0;116;43;3;363;88;1;364;207;0;193;141;1;62;41;1;24;19;0;3;3;0;19;12;0;13;7;0;23;4;0;71;23;0;1.260;589;6;
14;São João da Boa Vista;XXVI;SÃO JOÃO DA BOA VISTA;35142;MANTIQUEIRA;350040 Águas da Prata;0;0;0;10;5;0;34;17;0;12;2;0;11;2;0;2;0;0;2;2;0;2;0;0;1;0;0;4;0;0;3;0;0;1;0;0;82;28;0;
7;Campinas;XVII;CAMPINAS;35074;CIRCUITO DAS AGUAS;350050 Águas de Lindóia;2;0;1;7;1;1;11;1;5;13;7;3;13;5;3;1;0;0;2;0;0;1;0;0;2;0;0;1;0;0;0;0;0;3;0;0;56;14;13;
6;Bauru;XVI;BOTUCATU;35061;VALE DO JURUMIRIM;350055 Águas de Santa Bárbara;0;0;0;1;0;0;5;2;0;9;2;2;14;3;1;2;1;1;5;0;0;3;0;0;3;0;0;2;0;0;0;0;0;0;0;0;44;8;4;
10;Piracicaba;XX;PIRACICABA;35103;PIRACICABA;350060 Águas de São Pedro;0;0;0;0;0;0;6;0;0;9;1;2;12;1;1;2;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;32;4;3;
6;Bauru;XV;BAURU;35062;BAURU;350070 Agudos;636;376;0;1.443;781;4;612;220;1;392;167;0;147;66;1;29;11;0;10;3;0;9;5;0;9;1;0;8;2;0;11;2;1;4;0;0;3.310;1.634;7;
16;Sorocaba;XXXI;SOROCABA;35161;ITAPETININGA;350075 Alambari;0;0;0;0;0;0;1;0;0;2;0;0;5;0;0;4;0;0;3;0;0;2;0;0;1;0;0;1;0;0;1;0;0;1;0;0;21;0;0;
11;Presidente Prudente;XXI;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;350080 Alfredo Marcondes;0;0;0;1;0;0;3;0;0;9;0;2;29;8;3;14;5;1;2;1;0;7;1;1;10;6;1;10;0;1;4;0;0;6;0;2;95;21;11;
5;Barretos;XIV;BARRETOS;35051;NORTE-BARRETOS;350090 Altair;9;1;3;21;5;4;12;4;1;29;5;11;24;13;2;20;15;0;7;5;1;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;127;48;22;
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35133;VALE DAS CACHOEIRAS;350100 Altinópolis;2;0;0;5;0;0;7;2;2;14;7;0;14;10;0;4;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;2;0;0;53;19;2;
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;350110 Alto Alegre;0;0;0;3;0;1;5;0;1;14;0;7;21;1;19;12;9;3;3;3;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;60;13;32;
16;Sorocaba;XXXI;SOROCABA;35163;SOROCABA;350115 Alumínio;6;0;0;1;0;0;5;1;0;13;1;3;9;0;1;10;1;0;5;0;1;1;0;0;1;0;0;4;0;0;4;0;1;3;0;0;62;3;6;
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35157;VOTUPORANGA;350120 Álvares Florence;3;2;0;10;2;2;8;4;0;13;11;1;20;16;0;13;6;0;8;5;0;2;1;0;2;0;0;4;0;0;10;3;0;5;1;0;98;51;3;
11;Presidente Prudente;XXI;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;350130 Álvares Machado;2;0;0;43;15;11;104;39;12;74;29;5;102;36;15;58;39;2;28;20;3;11;1;0;9;1;1;14;1;3;19;1;0;15;2;2;479;184;54;
9;Marília;XIX;MARÍLIA;35093;MARÍLIA;350140 Álvaro de Carvalho;0;0;0;3;2;0;1;1;0;5;1;0;29;14;2;16;5;0;3;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;61;23;2;
9;Marília;XIX;MARÍLIA;35093;MARÍLIA;350150 Alvinlândia;6;0;1;10;0;0;1;0;0;1;0;0;5;0;0;3;0;0;0;0;0;1;0;0;2;0;0;2;0;0;1;0;0;1;0;0;33;0;1;
7;Campinas;XVII;CAMPINAS;35072;REG METRO CAMPINAS;350160 Americana;40;18;0;164;74;6;1.280;648;4;2.074;1.561;11;2.176;1.910;4;313;283;0;38;33;1;8;3;1;9;3;0;19;11;0;20;8;0;40;12;0;6.181;4.564;27;
3;Araraquara;XII;ARARAQUARA;35031;CENTRAL DO DRS III;350170 Américo Brasiliense;140;69;15;583;372;14;871;638;19;957;733;11;528;427;3;34;16;0;18;9;0;10;6;0;10;4;0;4;1;0;11;3;0;12;1;0;3.178;2.279;62;
