Distribuição dos casos de dengue  autóctones segundo o município de residência, por semana epidemiológica de início de sintomas, ESP, 2019.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;DRS;;GVE;;Região de Saúde;Município;SE 01;SE 02;SE 03;SE 04;SE 05;SE 06;SE 07;SE 08;SE 09;SE 10;SE 11;SE 12;SE 13;SE 14;SE 15;SE 16;SE 17;SE 18;SE 19;SE 20;SE 21;SE 22;SE 23;SE 24;SE 25;SE 26;SE 27;SE 28;SE 29;SE 30;SE 31;SE 32;SE 33;SE 34;SE 35;SE 36;SE 37;SE 38;SE 39;SE 40;SE 41;SE 42;SE 43;SE 44;SE 45;SE 46;SE 47;SE 48;SE 49;SE 50;SE 51;SE 52;Total
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Marília;XIX;MARÍLIA;35091;ADAMANTINA ;350010 Adamantina;0;0;0;0;1;6;3;9;6;6;17;21;19;49;52;71;117;154;160;246;177;152;153;110;135;100;66;55;36;27;24;17;21;16;6;4;7;3;4;5;1;5;2;2;1;1;2;2;0;1;0;7;2079
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35156;JOSÉ BONIFÁCIO;350020 Adolfo;6;10;11;9;11;7;3;3;5;5;1;8;2;4;1;3;1;1;0;5;3;0;2;2;3;3;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;116
14;São João da Boa Vista;XXVI;SÃO JOÃO DA BOA VISTA;35142;MANTIQUEIRA;350030 Aguaí;0;0;0;0;2;1;7;17;25;13;15;27;21;33;57;61;36;55;38;41;18;14;18;6;8;7;5;4;4;7;0;0;0;1;2;1;5;5;1;1;4;1;1;0;0;0;0;4;3;3;0;7;579
14;São João da Boa Vista;XXVI;SÃO JOÃO DA BOA VISTA;35142;MANTIQUEIRA;350040 Águas da Prata;0;0;0;0;0;0;1;1;4;5;7;3;1;0;0;0;1;2;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28
7;Campinas;XVII;CAMPINAS;35074;CIRCUITO DAS AGUAS;350050 Águas de Lindóia;0;0;0;0;0;0;0;1;0;0;0;0;1;1;3;1;1;1;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
6;Bauru;XVI;BOTUCATU;35061;VALE DO JURUMIRIM;350055 Águas de Santa Bárbara;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
10;Piracicaba;XX;PIRACICABA;35103;PIRACICABA;350060 Águas de São Pedro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
6;Bauru;XV;BAURU;35062;BAURU;350070 Agudos;24;49;72;107;207;260;213;138;133;46;51;36;40;43;33;40;47;23;19;16;10;8;0;2;2;6;1;0;2;0;2;3;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1638
16;Sorocaba;XXXI;SOROCABA;35161;ITAPETININGA;350075 Alambari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
